Stato,abbStato,Popolazione,Capitale
CALIFORNIA,CA,39538223,Sacramento
TEXAS,TX,29145505,Austin
FLORIDA,FL,21538187,Tallahassee
NEW YORK,NY,20201249,Albany
PENNSYLVANIA,PA,13002700,Harrisburg
ILLINOIS,IL,12812508,Springfield
OHIO,OH,11799448,Columbus
GEORGIA,GA,10711908,Atlanta
NORTH CAROLINA,NC,10439388,Raleigh
MICHIGAN,MI,10077331,Lansing
NEW JERSEY,NJ,9288994,Trenton
VIRGINIA,VA,8631393,Richmond
WASHINGTON,WA,7705281,Olympia
ARIZONA,AZ,7151502,Phoenix
MASSACHUSETTS,MA,7029917,Boston
TENNESSEE,TN,6910840,Nashville
INDIANA,IN,6785528,Indianapolis
MARYLAND,MD,6177224,Annapolis
MISSOURI,MO,6154913,Jefferson City
WISCONSIN,WI,5893718,Madison
COLORADO,CO,5773714,Denver
MINNESOTA,MN,5706494,Saint Paul
SOUTH CAROLINA,SC,5118425,Columbia
ALABAMA,AL,5024279,Montgomery
LOUISIANA,LA,4657757,Baton Rouge
KENTUCKY,KY,4505836,Frankfort
OREGON,OR,4237256,Salem
OKLAHOMA,OK,3959353,Oklahoma City
CONNECTICUT,CT,3605944,Hartford
UTAH,UT,3271616,Salt Lake City
IOWA,IA,3190369,Des Moines
NEVADA,NV,3104614,Carson City
ARKANSAS,AR,3011524,Little Rock
MISSISSIPPI,MS,2961279,Jackson
KANSAS,KS,2937880,Topeka
NEW MEXICO,NM,2117522,Santa Fe
NEBRASKA,NE,1961504,Lincoln
IDAHO,ID,1839106,Boise
WEST VIRGINIA,WV,1793716,Charleston
HAWAII,HI,1455271,Honolulu
NEW HAMPSHIRE,NH,1377529,Concord
MAINE,ME,1362359,Augusta
RHODE ISLAND,RI,1097379,Providence
MONTANA,MT,1084225,Helena
DELAWARE,DE,989948,Dover
SOUTH DAKOTA,SD,886667,Pierre
NORTH DAKOTA,ND,779094,Bismarck
ALASKA,AK,733391,Juneau
DISTRICT OF COLUMBIA,,689545,
VERMONT,VT,643077,Montpelier
WYOMING,WY,576851,Cheyenne
